iter	Passed	Remaining
424	18609	47071
425	18659	47042
426	18708	47012
427	18755	46975
428	18800	46935
429	18849	46904
430	18898	46873
431	18939	46822
432	18983	46779
433	19028	46738
434	19077	46707
435	19121	46663
436	19162	46613
437	19208	46574
438	19251	46528
439	19291	46475
440	19335	46431
441	19378	46384
442	19420	46338
443	19466	46298
444	19513	46262
445	19557	46218
446	19601	46176
447	19644	46130
448	19696	46105
449	19747	46078
450	19789	46029
451	19830	45979
452	19881	45950
453	19927	45911
454	19979	45886
455	20023	45842
456	20070	45806
457	20120	45775
458	20165	45735
459	20209	45692
460	20254	45648
461	20296	45600
462	20339	45555
463	20385	45515
464	20431	45475
465	20472	45425
466	20514	45378
467	20554	45326
468	20597	45280
469	20641	45235
470	20682	45186
471	20730	45149
472	20779	45117
473	20823	45074
474	20874	45044
475	20929	45024
476	20977	44989
477	21030	44964
478	21097	44969
479	21146	44936
480	21196	44903
481	21239	44859
482	21288	44824
483	21333	44782
484	21380	44744
485	21428	44709
486	21470	44661
487	21512	44612
488	21556	44568
489	21602	44528
490	21649	44490
491	21697	44453
492	21738	44403
493	21780	44354
494	21822	44307
495	21891	44312
496	21961	44320
497	22018	44302
498	22070	44273
499	22127	44255
500	22169	44205
501	22209	44154
502	22251	44103
503	22297	44063
504	22336	44009
505	22382	43969
506	22428	43928
507	22474	43888
508	22521	43847
509	22571	43814
510	22620	43780
511	22664	43735
512	22710	43694
513	22757	43655
514	22803	43614
515	22845	43565
516	22897	43536
517	22940	43489
518	22984	43445
519	23026	43396
520	23070	43351
521	23116	43309
522	23157	43259
523	23199	43211
524	23240	43160
525	23283	43113
526	23325	43066
527	23372	43026
528	23423	42994
529	23468	42951
530	23515	42911
531	23561	42872
532	23611	42836
533	23676	42830
534	23733	42808
535	23784	42777
536	23844	42760
537	23895	42727
538	23946	42695
539	23996	42659
540	24041	42616
541	24088	42576
542	24134	42535
543	24183	42499
544	24230	42459
545	24278	42420
546	24325	42380
547	24370	42337
548	24416	42295
549	24474	42273
550	24523	42237
551	24569	42196
552	24615	42153
553	24663	42114
554	24709	42073
555	24756	42033
556	24802	41990
557	24854	41957
558	24900	41916
559	24947	41876
560	24993	41833
561	25045	41801
562	25092	41761
563	25146	41732
564	25193	41691
565	25239	41649
566	25285	41607
567	25334	41569
568	25378	41524
569	25424	41481
570	25468	41436
571	25522	41407
572	25573	41373
573	25624	41337
574	25679	41311
575	25734	41282
576	25784	41246
577	25839	41217
578	25892	41185
579	25939	41146
580	25990	41110
581	26036	41068
582	26082	41025
583	26132	40988
584	26178	40945
585	26225	40904
586	26269	40858
587	26316	40817
588	26365	40779
589	26419	40749
590	26466	40707
591	26511	40663
592	26557	40620
593	26605	40580
594	26655	40543
595	26709	40513
596	26761	40477
597	26816	40449
598	26872	40421
599	26925	40388
600	26977	40353
601	27029	40319
602	27081	40285
603	27135	40254
604	27189	40222
605	27259	40214
606	27311	40179
607	27357	40137
608	27409	40101
609	27462	40068
610	27509	40025
611	27554	39981
612	27606	39946
613	27672	39931
614	27726	39898
615	27781	39868
616	27833	39833
617	27886	39799
618	27939	39765
619	27988	39724
620	28040	39689
621	28095	39658
622	28144	39619
623	28196	39584
624	28242	39539
625	28288	39495
626	28338	39456
627	28380	39407
628	28426	39362
629	28474	39321
630	28522	39280
631	28564	39230
632	28608	39183
633	28652	39137
634	28696	39090
635	28749	39056
636	28805	39024
637	28848	38977
638	28890	38928
639	28934	38880
640	28980	38836
641	29023	38788
642	29074	38751
643	29120	38707
644	29170	38667
645	29223	38633
646	29271	38591
647	29330	38563
648	29375	38519
649	29418	38470
650	29466	38428
651	29515	38387
652	29556	38337
653	29605	38297
654	29658	38262
655	29707	38221
656	29756	38180
657	29805	38140
658	29848	38091
659	29899	38053
660	29945	38009
661	29989	37962
662	30031	37912
663	30076	37867
664	30120	37820
665	30169	37779
666	30210	37728
667	30257	37685
668	30306	37645
669	30353	37601
670	30395	37553
671	30438	37505
672	30479	37454
673	30529	37413
674	30592	37391
675	30641	37349
