iter	R2	RMSE
104	0.9889935072	3.72674739
105	0.9893297525	3.669380311
106	0.9896631657	3.611596781
107	0.9899799496	3.555825441
108	0.9901739023	3.521243167
109	0.9905357322	3.455803092
110	0.9908358291	3.400572736
111	0.9909964401	3.370641852
112	0.9912063777	3.331113133
113	0.9913578442	3.302299996
114	0.9915006647	3.274899369
115	0.9917847797	3.219697621
116	0.9919121598	3.194638797
117	0.992132714	3.150779042
118	0.9921855456	3.140181922
119	0.9924165767	3.093414585
120	0.9926174752	3.052164494
121	0.9928055161	3.0130428
122	0.9929563317	2.98129484
123	0.9930518821	2.961004504
124	0.99328418	2.911085788
125	0.9933695981	2.892513581
126	0.9934477281	2.875420968
127	0.9935240463	2.858626056
128	0.9936483496	2.831058033
129	0.9937181164	2.815466875
130	0.9939168712	2.7705691
131	0.9940605322	2.737658318
132	0.9941307797	2.721420716
133	0.9942943187	2.683238249
134	0.9944217719	2.653099954
135	0.9945613221	2.61970356
136	0.9946236736	2.604643512
137	0.9947681111	2.569417835
138	0.9948228475	2.555941777
139	0.9948651266	2.545483874
140	0.994879914	2.541815991
141	0.9949261452	2.530314459
142	0.9949765613	2.517711913
143	0.9951024539	2.485963485
144	0.9951912244	2.463330791
145	0.9952971691	2.436044178
146	0.9953222481	2.42954011
147	0.9954239072	2.40299514
148	0.9955080089	2.380811024
149	0.9955310656	2.374692992
150	0.9956150709	2.352267808
151	0.9956573193	2.340908454
152	0.9956954472	2.330609427
153	0.9957272895	2.321973263
154	0.9957626003	2.312358642
155	0.9957956533	2.303322458
156	0.9958027935	2.301365758
157	0.9958085964	2.299774328
158	0.9958772718	2.280855806
159	0.9959583749	2.25830965
160	0.9959891442	2.249696879
161	0.9960704462	2.22677891
162	0.9961469493	2.204996177
163	0.9961770702	2.196360595
164	0.9962483596	2.175785527
165	0.9963234825	2.153891374
166	0.9963340213	2.150802085
167	0.9963556498	2.144448066
168	0.9964189089	2.125754779
169	0.9964264969	2.123501433
170	0.9964394368	2.119653296
171	0.9965015149	2.101094062
172	0.9965294587	2.092686081
173	0.9965334809	2.091473077
174	0.9965591667	2.083710081
175	0.9966087107	2.068654213
176	0.9966268066	2.063127665
177	0.9966484708	2.056491793
178	0.9967101023	2.037495593
179	0.9967195515	2.034567444
180	0.9967411994	2.027843203
181	0.9967572913	2.022830275
182	0.9967636501	2.020845981
183	0.996772723	2.018011324
184	0.9968239189	2.001940981
185	0.9968407665	1.996624265
186	0.9968515718	1.993206879
187	0.9969207882	1.971175355
188	0.996974042	1.954055644
189	0.9969892377	1.949143067
